ID_Stand1,Perimeter,Hectares
2132,476.312405,0.989958797
2134,1572.71818,9.758408119
2135,3322.780406,28.79442701
2136,738.2470704,2.446462312
2137,4686.633723,23.40369052
2138,2649.874126,14.7906545
2139,1273.749291,5.652404178
2141,2427.130257,22.99464189
2142,723.9063793,2.218482918
2145,539.8603233,0.807855287
2146,1726.552256,7.121469834
2148,2143.865807,14.79620348
2150,2153.321973,15.53017672
2151,1356.775047,2.908033431
2152,710.9525435,1.560976141
2153,1431.973767,3.053474946
2155,3306.963541,25.27377596
2157,1570.87514,4.61484508
2158,2252.628111,15.19727038
2159,1675.461331,15.34974312
2160,630.9885627,1.54871394
2161,927.8495054,3.080825307
2163,1417.864856,9.029288383
2164,703.7691785,2.05609355
2165,727.5955164,2.577100188
2166,385.0586621,0.795454184
2170,3707.654598,47.02731914
2171,2453.982727,16.03393243
2172,3856.61496,46.21301806
2173,3892.573541,48.77345579
2178,5789.849043,43.01363568
2179,5097.380698,23.51615039
2180,561.4544507,0.60449043
2182,647.2067248,1.454792557
3000,1238.798819,7.352573902
3001,2521.668282,19.00947775
3002,1520.603764,6.849260515
3003,1749.494131,5.954211437
3004,2318.793633,14.72358717
3005,3937.437307,30.5703744
3006,4599.154217,39.78435254
3007,2726.253067,7.391846069
3008,1616.717149,10.91137987
3009,1255.26942,6.277769663
3010,2562.324616,6.171681349
3011,1382.513749,5.352597944
3012,2099.345554,20.24379623
3013,2693.363981,15.45192943
3014,2265.023761,16.16088717
3015,2000.246095,9.378263781
3016,1565.631076,7.861124925
3017,2260.828569,13.88604063
3018,2615.294973,14.78544247
3019,3660.193399,47.42499287
3020,2148.215289,25.84498642
3021,2118.558309,15.20140783
3022,1218.478287,5.073179622
3023,2302.916118,23.16160999
3024,1918.163381,9.794387423
3025,7387.503567,48.36408392
3026,2743.381427,25.04076745
3027,6247.307415,48.73787298
3028,2263.316502,12.45514059
3029,4252.75431,28.0085242
3030,2491.042641,19.58210011
3031,1182.984241,6.08038927
3032,4252.085475,37.28411254
3033,1978.368598,18.25263569
3034,1880.626952,11.02361852
3035,526.2271822,0.960323926
3036,1832.229487,6.322755147
3037,5470.723495,45.48483903
3038,4793.710452,46.85215835
3039,1525.989656,13.98940246
3040,3086.914061,14.39614159
3041,3069.001718,22.22656704
3042,4267.785471,31.18439368
3043,1027.176451,6.016217563
3044,2276.854353,24.01711219
3045,3609.110877,33.25535946
3046,2729.383942,13.59763054
3047,6365.731479,45.69806511
3048,2967.497642,41.49626269
3049,1187.736929,8.666209732
3050,2490.221184,11.21489114
3051,3702.579334,35.38396792
3052,3682.684513,36.6195537
