UG,Viz,UG_Viz,Length,Perimetro,Areacortada
31,54,54.31,189.790765982,1096.304039,33.893068104
31,267,267.31,138.816912865,404.6748737,29.723672762
31,269,269.31,375.317324171,2192.183868,46.00467037
33,-1,33.-1,1056.76418335,2440.314616,28.3972417
33,19,33.19,292.382104884,2440.314616,47.7528599
33,42,33.42,104.36169911,2440.314616,44.79097361
33,51,33.51,257.877822735,2440.314616,37.375603803
33,272,33.272,295.488044393,2440.314616,37.616233398
33,279,33.279,136.321958679,2440.314616,42.54594152
33,297,33.297,149.580308898,2440.314616,42.78945503
33,2178,33.2178,147.538493465,2440.314616,71.41087738
37,-1,37.-1,513.842238312,2176.897511,12.06273662
37,19,37.19,180.673163377,2176.897511,31.41835482
37,31,37.31,248.628605854,2176.897511,40.81308577
37,45,37.45,963.503743664,2176.897511,33.84218164
37,269,37.269,55.6805290569,2176.897511,29.31705784
37,271,271.37,214.569230477,1592.390306,19.246817275
42,33,33.42,104.36169911,2440.314616,44.79097361
42,58,58.42,316.662061326,1377.487485,23.245813266
42,271,271.42,590.263430975,1592.390306,23.577812565
42,272,272.42,244.566329895,1329.262622,25.612723608
42,297,297.42,489.8021474167,2400.396187,30.78594524
45,-1,45.-1,914.728024755,2369.107097,21.77944502
45,31,45.31,102.031301928,2369.107097,50.52979417
45,37,37.45,963.503743664,2176.897511,33.84218164
45,271,271.45,388.844026768,1592.390306,28.963525675
49,-1,49.-1,267.377651611,3547.784699,25.58245699
49,583,583.49,25.81956688646,5314.005083,47.86333983
49,587,587.49,609.326303703,1645.083972,35.82520737
49,589,589.49,393.185193015,1214.987389,30.972191563
49,597,597.49,397.624965228,3089.604629,36.88781054
49,608,608.49,11.5247702088,2703.861999,35.97035783
49,614,614.49,546.695433032,2989.283906,38.58048835
49,3217,3217.49,362.063222368,661.0007155,26.180999115
49,4025_LS,49.4025_LS,155.2293079204,3547.784699,27.649105902
49,4026_LS,49.4026_LS,582.349866347,3547.784699,43.52152437
49,4032_R,4032_R.49,196.588418574,913.3268797,27.441715012
51,33,33.51,257.877822735,2440.314616,37.375603803
51,279,51.279,429.300933925,1250.760928,23.127061923
51,2178,51.2178,563.582170907,1250.760928,51.991997783
54,-1,54.-1,906.513272952,1096.304039,5.142718954
54,31,54.31,189.790765982,1096.304039,33.893068104
58,-1,58.-1,577.960901638,1377.487485,6.852081356
58,42,58.42,316.662061326,1377.487485,23.245813266
58,271,58.271,78.435603144,1377.487485,14.036162011
58,297,58.297,404.428918396,1377.487485,21.244294686
74,-1,74.-1,392.71138203,1651.30187,6.292804098
74,1109,74.1109,413.416008059,1651.30187,17.721000018
